F1,F2,Class,F3,F4
19.55571525,-66.42042284,Tumor,BT_S2,Neoplastic
-66.46776753,-4.840193899,Tumor,BT_S2,Oligodendrocyte
8.197810927,-63.76364574,Tumor,BT_S2,Neoplastic
-6.468824431,-51.28363476,Tumor,BT_S2,Neoplastic
-9.436247327,-53.89643043,Tumor,BT_S2,Neoplastic
-9.937540968,-58.17711824,Tumor,BT_S2,Neoplastic
16.74666004,-71.03418089,Tumor,BT_S2,Neoplastic
-37.51110955,37.40612827,Tumor,BT_S2,opc
-0.21701685,-52.33802825,Tumor,BT_S2,Neoplastic
18.88381727,-70.71332791,Tumor,BT_S2,Neoplastic
11.47324578,31.79622692,Tumor,BT_S2,Immune
-3.258033882,-50.59953451,Tumor,BT_S2,Neoplastic
-1.546440133,-53.54665739,Tumor,BT_S2,Neoplastic
-5.092557537,-49.20791865,Tumor,BT_S2,Neoplastic
-5.527607929,-46.58888802,Tumor,BT_S2,Neoplastic
13.6093341,-67.09919475,Tumor,BT_S2,Neoplastic
-69.84320531,-7.539570235,Tumor,BT_S2,Oligodendrocyte
-8.697278026,-54.10109012,Tumor,BT_S2,Neoplastic
-6.098664111,-50.03039489,Tumor,BT_S2,Neoplastic
-7.539788204,-49.34236513,Tumor,BT_S2,Neoplastic
-9.979867954,-46.43278381,Tumor,BT_S2,Neoplastic
5.894686754,-74.71424778,Tumor,BT_S2,Neoplastic
18.82494443,-67.91291717,Tumor,BT_S2,Neoplastic
-3.425599832,-57.58052519,Tumor,BT_S2,Neoplastic
11.84401895,-74.02114631,Tumor,BT_S2,Neoplastic
19.25703584,-71.12326273,Tumor,BT_S2,Neoplastic
6.394005899,-65.36747442,Tumor,BT_S2,Neoplastic
3.040846911,-67.41901034,Tumor,BT_S2,Neoplastic
13.79526214,-68.97464728,Tumor,BT_S2,Neoplastic
-5.192155603,-47.84522853,Tumor,BT_S2,Neoplastic
14.44019492,-72.07966431,Tumor,BT_S2,Neoplastic
-6.779183955,-50.34829197,Tumor,BT_S2,Neoplastic
-7.253512779,-49.0856581,Tumor,BT_S2,Neoplastic
-7.051692201,-60.52500798,Tumor,BT_S2,Neoplastic
11.9115208,-64.34604633,Tumor,BT_S2,Neoplastic
-7.963137512,-48.6083168,Tumor,BT_S2,Neoplastic
12.93490679,-67.34814599,Tumor,BT_S2,Neoplastic
9.408915049,-65.85726346,Tumor,BT_S2,Neoplastic
-7.659940277,-51.95926171,Tumor,BT_S2,Neoplastic
11.06414832,-57.2056898,Tumor,BT_S2,Neoplastic
20.51281141,32.04509162,Tumor,BT_S2,Immune
-3.907161499,-52.37764451,Tumor,BT_S2,Neoplastic
7.918148147,-64.52311266,Tumor,BT_S2,Neoplastic
12.3293419,-65.84529335,Tumor,BT_S2,Neoplastic
-7.592320133,-50.60039252,Tumor,BT_S2,Neoplastic
-4.418552969,-51.76318738,Tumor,BT_S2,Neoplastic
5.264675128,-57.64352894,Tumor,BT_S2,Neoplastic
4.787272626,-58.36425259,Tumor,BT_S2,Neoplastic
11.60416686,-61.33070076,Tumor,BT_S2,Neoplastic
0.79513477,-65.23223218,Tumor,BT_S2,Neoplastic
-8.245410712,-56.00463087,Tumor,BT_S2,Neoplastic
2.327725545,-68.10726232,Tumor,BT_S2,Neoplastic
0.916749221,44.10689035,Tumor,BT_S2,Immune
16.77733157,-67.90974786,Tumor,BT_S2,Neoplastic
-3.76482283,-50.22226624,Tumor,BT_S2,Neoplastic
21.29171655,-68.3900416,Tumor,BT_S2,Neoplastic
14.2133693,36.81506574,Tumor,BT_S2,Immune
12.79976467,-69.71474054,Tumor,BT_S2,Neoplastic
-8.603178037,-50.4363774,Tumor,BT_S2,Neoplastic
17.86796646,38.90806592,Tumor,BT_S2,Immune
